classification,dataset,target_table,product,year,candidate_start_date,candidate_end_date,writes_parquet,writes_market_data_files,writes_quality_status,before_count,status,after_count,rows_fetched,rows_upsert_attempted,error_type,error_message
needs_contract_universe_sync,contract_universe,futures_contract_universe,pg,2021,2021-01-01,2021-12-31,False,False,False,0,success,2916,2916,2916,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,pk,2021,2021-01-01,2021-12-31,False,False,False,0,success,1265,1265,1265,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,pm,2021,2021-01-01,2021-12-31,False,False,False,0,success,1458,1458,1458,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,pp,2021,2021-01-01,2021-12-31,False,False,False,0,success,2916,2916,2916,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,rb,2021,2021-01-01,2021-12-31,False,False,False,0,success,2916,2916,2916,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,ri,2021,2021-01-01,2021-12-31,False,False,False,0,success,1458,1458,1458,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,rm,2021,2021-01-01,2021-12-31,False,False,False,0,success,1701,1701,1701,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,rr,2021,2021-01-01,2021-12-31,False,False,False,0,success,2916,2916,2916,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,rs,2021,2021-01-01,2021-12-31,False,False,False,0,success,972,972,972,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,ru,2021,2021-01-01,2021-12-31,False,False,False,0,success,2430,2430,2430,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,sa,2021,2021-01-01,2021-12-31,False,False,False,0,success,2916,2916,2916,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,sc,2021,2021-01-01,2021-12-31,False,False,False,0,success,4860,4860,4860,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,sf,2021,2021-01-01,2021-12-31,False,False,False,0,success,2916,2916,2916,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,sm,2021,2021-01-01,2021-12-31,False,False,False,0,success,2916,2916,2916,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,sn,2021,2021-01-01,2021-12-31,False,False,False,0,success,2916,2916,2916,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,sp,2021,2021-01-01,2021-12-31,False,False,False,0,success,2916,2916,2916,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,sr,2021,2021-01-01,2021-12-31,False,False,False,0,success,1458,1458,1458,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,ss,2021,2021-01-01,2021-12-31,False,False,False,0,success,2916,2916,2916,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,t,2021,2021-01-01,2021-12-31,False,False,False,0,success,729,729,729,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,ta,2021,2021-01-01,2021-12-31,False,False,False,0,success,2916,2916,2916,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,tf,2021,2021-01-01,2021-12-31,False,False,False,0,success,729,729,729,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,ts,2021,2021-01-01,2021-12-31,False,False,False,0,success,729,729,729,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,ur,2021,2021-01-01,2021-12-31,False,False,False,0,success,2916,2916,2916,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,v,2021,2021-01-01,2021-12-31,False,False,False,0,success,2916,2916,2916,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,wh,2021,2021-01-01,2021-12-31,False,False,False,0,success,1458,1458,1458,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,wr,2021,2021-01-01,2021-12-31,False,False,False,0,success,2916,2916,2916,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,y,2021,2021-01-01,2021-12-31,False,False,False,0,success,1944,1944,1944,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,zc,2021,2021-01-01,2021-12-31,False,False,False,0,success,2916,2916,2916,,
needs_contract_universe_sync,contract_universe,futures_contract_universe,zn,2021,2021-01-01,2021-12-31,False,False,False,0,success,2916,2916,2916,,
