product,contract_role,symbol_or_contract,period,year,status,issue_type,expected_start,expected_end,target_reason,evidence_source,provider,data_role,quality_status,start_date,end_date,row_count,db_market_data_file_id,standard_path,recommended_next_task
a,dominant_main,a.MAIN,1m,2024,covered_passed,,2024-01-01,2024-12-31,dominant_2023_plus_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,289680,40882,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1m_20230103_20260707_v2.parquet,
a,dominant_main,a.MAIN,1m,2025,covered_passed,,2025-01-01,2025-12-31,dominant_2023_plus_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,289680,40882,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1m_20230103_20260707_v2.parquet,
a,dominant_main,a.MAIN,1m,2026,covered_passed,,2026-01-01,2026-07-10,dominant_2023_plus_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,289680,40882,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1m_20230103_20260707_v2.parquet,
a,dominant_main,a.MAIN,5m,2023,covered_passed,,2023-01-03,2023-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,57936,40883,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_5m_20230103_20260707_v2.parquet,
a,dominant_main,a.MAIN,5m,2024,covered_passed,,2024-01-01,2024-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,57936,40883,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_5m_20230103_20260707_v2.parquet,
a,dominant_main,a.MAIN,5m,2025,covered_passed,,2025-01-01,2025-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,57936,40883,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_5m_20230103_20260707_v2.parquet,
a,dominant_main,a.MAIN,5m,2026,covered_passed,,2026-01-01,2026-07-10,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,57936,40883,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_5m_20230103_20260707_v2.parquet,
a,dominant_main,a.MAIN,15m,2023,covered_passed,,2023-01-03,2023-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,19312,40884,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_15m_20230103_20260707_v2.parquet,
a,dominant_main,a.MAIN,15m,2024,covered_passed,,2024-01-01,2024-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,19312,40884,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_15m_20230103_20260707_v2.parquet,
a,dominant_main,a.MAIN,15m,2025,covered_passed,,2025-01-01,2025-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,19312,40884,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_15m_20230103_20260707_v2.parquet,
a,dominant_main,a.MAIN,15m,2026,covered_passed,,2026-01-01,2026-07-10,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,19312,40884,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_15m_20230103_20260707_v2.parquet,
a,dominant_main,a.MAIN,30m,2023,covered_passed,,2023-01-03,2023-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,10080,40885,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_30m_20230103_20260707_v2.parquet,
a,dominant_main,a.MAIN,30m,2024,covered_passed,,2024-01-01,2024-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,10080,40885,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_30m_20230103_20260707_v2.parquet,
a,dominant_main,a.MAIN,30m,2025,covered_passed,,2025-01-01,2025-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,10080,40885,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_30m_20230103_20260707_v2.parquet,
a,dominant_main,a.MAIN,30m,2026,covered_passed,,2026-01-01,2026-07-10,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,10080,40885,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_30m_20230103_20260707_v2.parquet,
a,dominant_main,a.MAIN,60m,2023,covered_passed,,2023-01-03,2023-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,5888,40886,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_60m_20230103_20260707_v2.parquet,
a,dominant_main,a.MAIN,60m,2024,covered_passed,,2024-01-01,2024-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,5888,40886,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_60m_20230103_20260707_v2.parquet,
a,dominant_main,a.MAIN,60m,2025,covered_passed,,2025-01-01,2025-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,5888,40886,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_60m_20230103_20260707_v2.parquet,
a,dominant_main,a.MAIN,60m,2026,covered_passed,,2026-01-01,2026-07-10,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,5888,40886,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_60m_20230103_20260707_v2.parquet,
ad,dominant_main,ad.MAIN,1d,2020,not_applicable,not_applicable,,,dominant_2020_plus,"db_market_data_file,manifest",rqdata,primary,passed,2025-06-10,2026-07-07,262,40893,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1d_20230103_20260707_v2.parquet,
ad,dominant_main,ad.MAIN,1d,2021,not_applicable,not_applicable,,,dominant_2020_plus,"db_market_data_file,manifest",rqdata,primary,passed,2025-06-10,2026-07-07,262,40893,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1d_20230103_20260707_v2.parquet,
ad,dominant_main,ad.MAIN,1d,2022,not_applicable,not_applicable,,,dominant_2020_plus,"db_market_data_file,manifest",rqdata,primary,passed,2025-06-10,2026-07-07,262,40893,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1d_20230103_20260707_v2.parquet,
ad,dominant_main,ad.MAIN,1d,2023,not_applicable,not_applicable,,,dominant_2020_plus;dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2025-06-10,2026-07-07,262,40893,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1d_20230103_20260707_v2.parquet,
ad,dominant_main,ad.MAIN,1d,2024,not_applicable,not_applicable,,,dominant_2020_plus;dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2025-06-10,2026-07-07,262,40893,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1d_20230103_20260707_v2.parquet,
ad,dominant_main,ad.MAIN,1d,2025,covered_passed,,2025-06-10,2025-12-31,dominant_2020_plus;dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2025-06-10,2026-07-07,262,40893,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1d_20230103_20260707_v2.parquet,
ad,dominant_main,ad.MAIN,1d,2026,covered_passed,,2026-01-01,2026-07-10,dominant_2020_plus;dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2025-06-10,2026-07-07,262,40893,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1d_20230103_20260707_v2.parquet,
ad,dominant_main,ad.MAIN,1w,2020,not_applicable,not_applicable,,,dominant_2020_plus,"db_market_data_file,manifest",rqdata,primary,passed,2025-06-13,2026-07-03,55,55569,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1w_20230103_20260707_v2.parquet,
ad,dominant_main,ad.MAIN,1w,2021,not_applicable,not_applicable,,,dominant_2020_plus,"db_market_data_file,manifest",rqdata,primary,passed,2025-06-13,2026-07-03,55,55569,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1w_20230103_20260707_v2.parquet,
ad,dominant_main,ad.MAIN,1w,2022,not_applicable,not_applicable,,,dominant_2020_plus,"db_market_data_file,manifest",rqdata,primary,passed,2025-06-13,2026-07-03,55,55569,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1w_20230103_20260707_v2.parquet,
ad,dominant_main,ad.MAIN,1w,2023,not_applicable,not_applicable,,,dominant_2020_plus,"db_market_data_file,manifest",rqdata,primary,passed,2025-06-13,2026-07-03,55,55569,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1w_20230103_20260707_v2.parquet,
