issue_type,product,contract_role,symbol_or_contract,period,year,status,evidence_source,recommended_next_task,issue_class,upgrade_to_passed_allowed
missing_db_registration,au,dominant_main,au.MAIN,30m,2026,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,au,dominant_main,au.MAIN,60m,2023,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,au,dominant_main,au.MAIN,60m,2024,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,au,dominant_main,au.MAIN,60m,2025,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,au,dominant_main,au.MAIN,60m,2026,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,b,dominant_main,b.MAIN,1d,2020,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,b,dominant_main,b.MAIN,1d,2021,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,b,dominant_main,b.MAIN,1d,2022,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,b,dominant_main,b.MAIN,1d,2023,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,b,dominant_main,b.MAIN,1d,2024,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,b,dominant_main,b.MAIN,1d,2025,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,b,dominant_main,b.MAIN,1d,2026,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,b,dominant_main,b.MAIN,1w,2020,missing_db_registration,"manifest,processed_summary",controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,b,dominant_main,b.MAIN,1w,2021,missing_db_registration,"manifest,processed_summary",controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,b,dominant_main,b.MAIN,1w,2022,missing_db_registration,"manifest,processed_summary",controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,b,dominant_main,b.MAIN,1w,2023,missing_db_registration,"manifest,processed_summary",controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,b,dominant_main,b.MAIN,1w,2024,missing_db_registration,"manifest,processed_summary",controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,b,dominant_main,b.MAIN,1w,2025,missing_db_registration,"manifest,processed_summary",controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,b,dominant_main,b.MAIN,1w,2026,missing_db_registration,"manifest,processed_summary",controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,b,dominant_main,b.MAIN,1m,2023,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,b,dominant_main,b.MAIN,1m,2024,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,b,dominant_main,b.MAIN,1m,2025,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,b,dominant_main,b.MAIN,1m,2026,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,b,dominant_main,b.MAIN,5m,2023,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,b,dominant_main,b.MAIN,5m,2024,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,b,dominant_main,b.MAIN,5m,2025,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,b,dominant_main,b.MAIN,5m,2026,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,b,dominant_main,b.MAIN,15m,2023,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,b,dominant_main,b.MAIN,15m,2024,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,b,dominant_main,b.MAIN,15m,2025,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,b,dominant_main,b.MAIN,15m,2026,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,b,dominant_main,b.MAIN,30m,2023,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,b,dominant_main,b.MAIN,30m,2024,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,b,dominant_main,b.MAIN,30m,2025,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,b,dominant_main,b.MAIN,30m,2026,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,b,dominant_main,b.MAIN,60m,2023,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,b,dominant_main,b.MAIN,60m,2024,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,b,dominant_main,b.MAIN,60m,2025,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,b,dominant_main,b.MAIN,60m,2026,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bb,dominant_main,bb.MAIN,1d,2020,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bb,dominant_main,bb.MAIN,1d,2021,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bb,dominant_main,bb.MAIN,1d,2022,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bb,dominant_main,bb.MAIN,1d,2023,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bb,dominant_main,bb.MAIN,1d,2024,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bb,dominant_main,bb.MAIN,1d,2025,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bb,dominant_main,bb.MAIN,1d,2026,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bb,dominant_main,bb.MAIN,1w,2020,missing_db_registration,"manifest,processed_summary",controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bb,dominant_main,bb.MAIN,1w,2021,missing_db_registration,"manifest,processed_summary",controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bb,dominant_main,bb.MAIN,1w,2022,missing_db_registration,"manifest,processed_summary",controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bb,dominant_main,bb.MAIN,1w,2023,missing_db_registration,"manifest,processed_summary",controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bb,dominant_main,bb.MAIN,1w,2024,missing_db_registration,"manifest,processed_summary",controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bb,dominant_main,bb.MAIN,1w,2025,missing_db_registration,"manifest,processed_summary",controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bb,dominant_main,bb.MAIN,1w,2026,missing_db_registration,"manifest,processed_summary",controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bb,dominant_main,bb.MAIN,1m,2023,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bb,dominant_main,bb.MAIN,1m,2024,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bb,dominant_main,bb.MAIN,1m,2025,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bb,dominant_main,bb.MAIN,1m,2026,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bb,dominant_main,bb.MAIN,5m,2023,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bb,dominant_main,bb.MAIN,5m,2024,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bb,dominant_main,bb.MAIN,5m,2025,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bb,dominant_main,bb.MAIN,5m,2026,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bb,dominant_main,bb.MAIN,15m,2023,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bb,dominant_main,bb.MAIN,15m,2024,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bb,dominant_main,bb.MAIN,15m,2025,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bb,dominant_main,bb.MAIN,15m,2026,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bb,dominant_main,bb.MAIN,30m,2023,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bb,dominant_main,bb.MAIN,30m,2024,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bb,dominant_main,bb.MAIN,30m,2025,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bb,dominant_main,bb.MAIN,30m,2026,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bb,dominant_main,bb.MAIN,60m,2023,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bb,dominant_main,bb.MAIN,60m,2024,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bb,dominant_main,bb.MAIN,60m,2025,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bb,dominant_main,bb.MAIN,60m,2026,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bc,dominant_main,bc.MAIN,1d,2020,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bc,dominant_main,bc.MAIN,1d,2021,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bc,dominant_main,bc.MAIN,1d,2022,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bc,dominant_main,bc.MAIN,1d,2023,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bc,dominant_main,bc.MAIN,1d,2024,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bc,dominant_main,bc.MAIN,1d,2025,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
missing_db_registration,bc,dominant_main,bc.MAIN,1d,2026,missing_db_registration,manifest,controlled_metadata_registration_plan,missing_db_registration,
