product,year,dataset,status,issue_type,db_available,recommended_next_task
ag,2024,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
ag,2024,trading_parameters,covered_passed,,True,
ag,2024,trading_calendar,covered_passed,,True,
ag,2024,trading_sessions,covered_passed,,True,
ag,2025,main_contract_map_rank1,covered_passed,,True,
ag,2025,contract_universe,covered_passed,,True,
ag,2025,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
ag,2025,trading_parameters,covered_passed,,True,
ag,2025,trading_calendar,covered_passed,,True,
ag,2025,trading_sessions,covered_passed,,True,
ag,2026,main_contract_map_rank1,covered_passed,,True,
ag,2026,contract_universe,covered_passed,,True,
ag,2026,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
ag,2026,trading_parameters,covered_passed,,True,
ag,2026,trading_calendar,covered_passed,,True,
ag,2026,trading_sessions,covered_passed,,True,
al,2020,main_contract_map_rank1,covered_passed,,True,
al,2020,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
al,2020,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
al,2020,trading_parameters,covered_passed,,True,
al,2020,trading_calendar,covered_passed,,True,
al,2020,trading_sessions,covered_passed,,True,
al,2021,main_contract_map_rank1,covered_passed,,True,
al,2021,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
al,2021,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
al,2021,trading_parameters,covered_passed,,True,
al,2021,trading_calendar,covered_passed,,True,
al,2021,trading_sessions,covered_passed,,True,
al,2022,main_contract_map_rank1,covered_passed,,True,
al,2022,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
al,2022,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
al,2022,trading_parameters,covered_passed,,True,
al,2022,trading_calendar,covered_passed,,True,
al,2022,trading_sessions,covered_passed,,True,
al,2023,main_contract_map_rank1,covered_passed,,True,
al,2023,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
al,2023,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
al,2023,trading_parameters,covered_passed,,True,
al,2023,trading_calendar,covered_passed,,True,
al,2023,trading_sessions,covered_passed,,True,
al,2024,main_contract_map_rank1,covered_passed,,True,
al,2024,contract_universe,covered_passed,,True,
al,2024,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
al,2024,trading_parameters,covered_passed,,True,
al,2024,trading_calendar,covered_passed,,True,
al,2024,trading_sessions,covered_passed,,True,
al,2025,main_contract_map_rank1,covered_passed,,True,
al,2025,contract_universe,covered_passed,,True,
al,2025,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
al,2025,trading_parameters,covered_passed,,True,
