product,year,dataset,status,row_count,audit_status,issue_class,detail
a,2026,main_contract_map_rank1,covered_passed,,covered_passed,confirmed_passed,
a,2026,contract_universe,covered_passed,,covered_passed,confirmed_passed,
a,2026,continuous_contract_map,covered_passed,,covered_passed,confirmed_passed,
a,2026,trading_parameters,covered_passed,,covered_passed,confirmed_passed,
a,2026,trading_calendar,covered_passed,,covered_passed,confirmed_passed,
a,2026,trading_sessions,covered_passed,,covered_passed,confirmed_passed,
ad,2020,main_contract_map_rank1,not_applicable,,not_applicable,not_applicable,
ad,2020,contract_universe,not_applicable,,not_applicable,not_applicable,
ad,2020,continuous_contract_map,not_applicable,,not_applicable,not_applicable,
ad,2020,trading_parameters,not_applicable,,not_applicable,not_applicable,
ad,2020,trading_calendar,not_applicable,,not_applicable,not_applicable,
ad,2020,trading_sessions,not_applicable,,not_applicable,not_applicable,
ad,2021,main_contract_map_rank1,not_applicable,,not_applicable,not_applicable,
ad,2021,contract_universe,not_applicable,,not_applicable,not_applicable,
ad,2021,continuous_contract_map,not_applicable,,not_applicable,not_applicable,
ad,2021,trading_parameters,not_applicable,,not_applicable,not_applicable,
ad,2021,trading_calendar,not_applicable,,not_applicable,not_applicable,
ad,2021,trading_sessions,not_applicable,,not_applicable,not_applicable,
ad,2022,main_contract_map_rank1,not_applicable,,not_applicable,not_applicable,
ad,2022,contract_universe,not_applicable,,not_applicable,not_applicable,
ad,2022,continuous_contract_map,not_applicable,,not_applicable,not_applicable,
ad,2022,trading_parameters,not_applicable,,not_applicable,not_applicable,
ad,2022,trading_calendar,not_applicable,,not_applicable,not_applicable,
ad,2022,trading_sessions,not_applicable,,not_applicable,not_applicable,
ad,2023,main_contract_map_rank1,not_applicable,,not_applicable,not_applicable,
ad,2023,contract_universe,not_applicable,,not_applicable,not_applicable,
ad,2023,continuous_contract_map,not_applicable,,not_applicable,not_applicable,
ad,2023,trading_parameters,not_applicable,,not_applicable,not_applicable,
ad,2023,trading_calendar,not_applicable,,not_applicable,not_applicable,
ad,2023,trading_sessions,not_applicable,,not_applicable,not_applicable,
ad,2024,main_contract_map_rank1,not_applicable,,not_applicable,not_applicable,
ad,2024,contract_universe,not_applicable,,not_applicable,not_applicable,
ad,2024,continuous_contract_map,not_applicable,,not_applicable,not_applicable,
ad,2024,trading_parameters,not_applicable,,not_applicable,not_applicable,
ad,2024,trading_calendar,not_applicable,,not_applicable,not_applicable,
ad,2024,trading_sessions,not_applicable,,not_applicable,not_applicable,
ad,2025,main_contract_map_rank1,covered_passed,,covered_passed,confirmed_passed,
ad,2025,contract_universe,covered_passed,,covered_passed,confirmed_passed,
ad,2025,continuous_contract_map,covered_passed,,covered_passed,confirmed_passed,
ad,2025,trading_parameters,covered_passed,,covered_passed,confirmed_passed,
ad,2025,trading_calendar,covered_passed,,covered_passed,confirmed_passed,
ad,2025,trading_sessions,covered_passed,,covered_passed,confirmed_passed,
ad,2026,main_contract_map_rank1,covered_passed,,covered_passed,confirmed_passed,
ad,2026,contract_universe,covered_passed,,covered_passed,confirmed_passed,
ad,2026,continuous_contract_map,covered_passed,,covered_passed,confirmed_passed,
ad,2026,trading_parameters,covered_passed,,covered_passed,confirmed_passed,
ad,2026,trading_calendar,covered_passed,,covered_passed,confirmed_passed,
ad,2026,trading_sessions,covered_passed,,covered_passed,confirmed_passed,
ag,2020,main_contract_map_rank1,covered_passed,,covered_passed,confirmed_passed,
ag,2020,contract_universe,covered_passed,,covered_passed,confirmed_passed,
ag,2020,continuous_contract_map,covered_passed,,covered_passed,confirmed_passed,
ag,2020,trading_parameters,covered_passed,,covered_passed,confirmed_passed,
ag,2020,trading_calendar,covered_passed,,covered_passed,confirmed_passed,
ag,2020,trading_sessions,covered_passed,,covered_passed,confirmed_passed,
ag,2021,main_contract_map_rank1,covered_passed,,covered_passed,confirmed_passed,
